t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
37.55,seguindo,2.3503,0.0185,-0.3074,-0.3996,-0.0921,0.5,3.386,5.6723,0.37,2.7442,-0.1479,0.1376
37.6,seguindo,2.3624,0.0161,-0.3258,-0.4056,-0.0797,0.5,3.3753,5.6723,0.37,2.7442,-0.1479,0.1357
37.65,seguindo,2.3805,0.012,-0.3525,-0.3749,-0.0224,0.5,3.3593,9.1898,0.37,2.7941,-0.1508,0.1324
37.7,seguindo,2.3927,0.0088,-0.3691,-0.3785,-0.0094,0.5,3.3487,9.1898,0.37,2.7941,-0.1508,0.1297
37.75,seguindo,2.4109,0.0037,-0.3935,-0.3825,0.011,0.5,3.3396,9.1898,0.37,2.8004,-0.153,0.1253
37.8,seguindo,2.4231,-0.0,-0.4095,-0.3852,0.0244,0.5,3.3292,9.1898,0.37,2.8004,-0.153,0.1223
37.85,seguindo,2.4415,-0.0061,-0.4322,-0.3474,0.0848,0.5,3.3137,60.6742,0.37,2.8504,-0.1542,0.1172
37.9,seguindo,2.4537,-0.0106,-0.4465,-0.3474,0.099,0.5,3.3035,60.6742,0.37,2.8504,-0.1542,0.1134
37.95,seguindo,2.4707,-0.0172,-0.4635,-0.3462,0.1174,0.5,3.2896,60.6742,0.37,2.8504,-0.1542,0.1078
38.0,seguindo,2.4813,-0.0217,-0.4738,-0.3447,0.1291,0.5,3.281,60.6742,0.37,2.8504,-0.1542,0.1041
38.05,seguindo,2.497,-0.029,-0.4824,-0.2976,0.1848,0.5,3.2686,4.9939,0.37,2.9004,-0.1528,0.0978
38.1,seguindo,2.5073,-0.0342,-0.4855,-0.293,0.1924,0.5,3.2606,4.9939,0.37,2.9004,-0.1528,0.0934
38.15,seguindo,2.5225,-0.0423,-0.4839,-0.2844,0.1995,0.5,3.249,4.9939,0.37,2.9004,-0.1528,0.0864
38.2,seguindo,2.5376,-0.0507,-0.4785,-0.2318,0.2467,0.5,3.2376,2.324,0.37,2.9506,-0.1482,0.0792
38.25,seguindo,2.5476,-0.0562,-0.4746,-0.2243,0.2503,0.5,3.23,2.324,0.37,2.9506,-0.1482,0.0745
38.3,seguindo,2.5577,-0.0617,-0.4708,-0.2165,0.2543,0.5,3.2225,2.324,0.37,2.9506,-0.1482,0.0698
38.35,seguindo,2.5729,-0.0699,-0.4655,-0.2043,0.2612,0.5,3.211,2.324,0.37,2.9506,-0.1482,0.063
