fase,trecho,t,x,y,yaw,v_pose,wz_pose,cmd_v_bruto,cmd_wz_bruto,cmd_v_placa,cmd_wz_placa,cmd_v,cmd_wz,alvo_x,alvo_y,dist
afericao,giro_030,3.709,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.709,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.71,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.71,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.711,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.711,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.712,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.712,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.712,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.713,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.713,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.714,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.714,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.714,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.715,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.715,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.716,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.716,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.717,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.717,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.718,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.718,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.719,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.719,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.721,0.0259,-0.0596,0.8202,-0.019,0.2326,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.721,0.0262,-0.0599,0.8254,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.721,0.0262,-0.0599,0.8254,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
