dente,fase,t,cmd_v,v_esq,v_dir,x,y,yaw
0,para,2.4608371257781982,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4666028022766113,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.472283124923706,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4779889583587646,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4838249683380127,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.489666223526001,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4956581592559814,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.497426748275757,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.4978396892547607,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.49812388420105,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.498736619949341,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.4989607334136963,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.4994583129882812,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.499650239944458,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.500108242034912,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5002944469451904,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5007243156433105,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.500903367996216,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.501309633255005,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5014729499816895,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.501871109008789,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5023772716522217,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5030596256256104,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5032482147216797,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5036377906799316,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.503784656524658,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5041332244873047,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
0,para,2.5042684078216553,0.0,0.0,-0.0,0.33235538084941313,0.2259280378798724,0.669687229969307
