t,x,y,yaw,dist,plano_n,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
25.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.75,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.8,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.85,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.9,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.95,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.05,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.101,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.15,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.201,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.25,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.301,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.35,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.401,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.45,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.75,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.8,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.85,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.9,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.95,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.05,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.1,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.15,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.2,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.25,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.3,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.35,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.4,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.45,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
